P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
-0.9857892843767637,0.26358664856592656,-0.2250014129939424,0.011454185088637062,0.015112762352986253,-0.06820561579601231,0.18341836252063112,0.04940667281887295,-0.07227539929833252,-0.0031733810251994843
-0.9060938003574638,0.4754115753234665,0.11089354166306029,-0.3020203456089043,-0.1946531483146729,-0.08444302620551186,0.01995673610705824,-0.03383276158339018,-0.09009711441686696,-0.010005851104902097
-1.0663667916360595,0.2812336226166957,-0.3758655134044802,-0.22028444678329778,0.048341613160404306,-0.09003861042292913,0.08996138172294811,-0.004490262727521746,-0.048347917305560886,0.023068536228891046
-1.010509344548541,0.22495697834300785,-0.2590968545620277,-0.01313014258120447,0.08361803584241351,-0.1016910026231796,0.09932938385199111,0.036028288940901064,-0.014377100723525015,0.0018911692057634877
-0.9908849559866347,0.24223133914716502,-0.25954934197866847,-0.04010894339864074,-0.019873120736970395,-0.01892740379573929,0.1748069858918686,0.03968314775722057,-0.06487923591536573,-0.004206996394614804
-1.0031660728478407,0.25572495201702833,-0.272493862226334,-0.02232850588429844,0.0016325128031969838,-0.02024761299976316,0.06299537531905369,-0.025136757593885443,-0.045393261752705374,-0.01249849554251653
-1.064484721020108,0.3180809864034201,-0.3344952482323579,-0.11730203751594603,0.006011792170665331,-0.05551765154419222,-0.004118472321227362,-0.04410817372901717,-0.0598781822727608,0.0011628451751749536
-1.1225728455895825,0.3486518771970054,-0.3545478591952584,-0.09394627968625334,-0.05567608551577896,-0.014733031077963588,-0.06466815995424197,-0.019537832893660873,-0.040755430176924526,0.0007103407231190961
-1.1266066561826436,0.3815885225521664,-0.3775503705548956,-0.09729397976068362,-0.057744300496886614,-0.017197748583738404,-0.0610033934030102,-0.0354673560494114,-0.04060269172023656,0.007338504856205019
-0.9874245077341619,0.5930003330720857,0.22623044371999085,-0.25611096896098745,-0.21454544334779463,-0.15676009379161462,0.0198203009704283,0.025361836266588444,-0.06526167610811628,-0.008334260665203985
-0.9523147594027492,0.4066795116728654,-0.03748678061900972,-0.2189580663032567,-0.17601784341188498,-0.020830349432072848,0.040198007201793354,-0.006713353507975708,-0.07663224482156143,-0.006978520248639208
-0.8698749919030967,0.4767161584212145,0.20951875336939507,-0.39300280859331505,-0.1995603976253102,-0.1582784591652204,-0.04359059335748129,-0.009024905977547293,-0.05928432835393919,-0.004281657670935135
-1.0365969100989587,0.2257605243387943,-0.2723848389368121,-0.07858705427768992,0.12340130307861108,-0.14059721114689147,0.026910087833587032,0.024760932846063247,0.03850478548369485,0.007842517843289765
-0.9863012725577041,0.1517246938701744,-0.2106171529563185,-0.003238933621321674,0.10087432597693402,-0.09663269330019886,0.06014974870266983,0.056434778949982466,0.055093481400642734,-0.005554314969266005
-1.1023890565194958,0.34258916360756086,-0.3587058720042136,-0.08366035042555806,0.0018423939922935229,-0.048302855434948055,-0.05531629481478041,-0.05601618748346203,-0.06402431952138501,0.007596327260709357
-1.1422214843670515,0.39904134649402356,-0.3872591010027618,-0.11569917391280271,-0.09936538672951056,0.011482684251150732,-0.05349694844894273,-0.0377143138070064,-0.06671922525635231,0.017915988365252877
